#Cannot add temp
#Cannot add altitude
#Cannot add pressure
#Cannot add geopotential
#Cannot add theta
L_S,vl1,vl2
360.0,0.0,0.0
0.514709,918.342,996.023
1.02858,920.571,1000.11
1.54161,918.038,1004.89
2.05381,915.71,1005.73
2.56517,914.593,1005.32
3.07571,910.872,992.278
3.58543,906.804,984.49
4.09433,905.54,1005.05
4.60242,904.216,1026.8
5.1097,909.115,1011.09
5.61618,904.742,1023.84
6.12186,909.257,1019.52
6.62675,911.471,1022.06
7.13085,914.449,1018.16
7.63416,912.641,1027.83
8.1367,911.217,1025.04
8.63847,915.377,1022.77
9.13947,919.012,1013.77
9.63971,917.23,1009.82
10.1392,920.263,1008.77
10.6379,917.522,1027.18
11.1359,913.335,1031.3
11.6331,919.515,1031.26
12.1296,917.634,1046.43
12.6254,912.691,1029.38
13.1204,919.652,1021.51
13.6148,921.07,1039.31
14.1084,917.929,1030.94
14.6013,913.365,1018.65
15.0934,922.813,1037.31
15.5849,913.576,1040.03
16.0757,913.109,1021.9
16.5658,918.742,1028.93
17.0552,915.717,1010.45
17.544,916.612,1007.04
18.032,920.523,1025.02
18.5194,913.147,1028.84
19.0062,911.729,1019.12
19.4923,916.356,1020.8
19.9777,916.382,1006.62
20.4625,915.758,1007.35
20.9466,916.737,1027.45
21.4301,912.6,1017.66
21.913,911.049,992.519
22.3952,916.637,1012.89
22.8769,912.822,1022.65
23.3579,912.65,998.1
23.8383,912.089,1004.26
24.3181,913.44,1017.28
24.7973,913.025,1017.01
25.276,909.72,1010.5
25.754,910.018,1007.33
26.2315,911.921,1015.17
26.7083,910.744,1013.62
27.1847,908.268,1013.69
27.6604,907.613,1004.43
28.1356,908.854,1006.84
28.6103,907.159,1005.33
29.0843,905.756,1003.73
29.5579,903.492,996.578
30.0309,903.254,1006.65
30.5034,903.207,1010.0
30.9754,902.086,1011.67
31.4468,901.084,1012.35
31.9178,902.261,1007.74
32.3882,901.635,1006.2
32.8582,900.31,1011.69
33.3276,899.934,1012.35
33.7965,899.494,1009.25
34.265,898.873,1007.56
34.733,899.073,1005.7
35.2005,896.724,1003.59
35.6676,895.868,997.21
36.1341,895.539,992.733
36.6003,895.529,991.817
37.066,893.469,993.126
37.5312,893.387,1000.48
37.996,893.071,1002.77
38.4604,891.805,1006.22
38.9243,891.279,1003.68
39.3878,892.049,1001.1
39.8509,891.937,997.598
40.3136,890.339,996.661
40.7759,888.173,996.479
41.2378,886.467,995.887
41.6993,885.031,992.604
42.1604,885.196,992.25
42.6211,884.657,993.86
43.0815,883.808,994.99
43.5415,883.852,992.169
44.0011,882.293,987.167
44.4604,881.526,983.657
44.9193,880.981,979.785
45.3778,879.222,978.3
45.8361,878.245,975.777
46.2939,877.139,973.882
46.7515,874.884,974.033
47.2087,874.736,975.183
47.6656,873.409,978.303
48.1222,872.368,975.438
48.5785,871.979,968.526
49.0345,870.675,961.202
49.4902,868.714,960.632
49.9456,867.337,968.602
50.4007,867.233,969.688
50.8556,865.984,966.332
51.3102,864.973,961.482
51.7645,864.147,963.549
52.2185,862.645,964.595
52.6723,860.092,965.449
53.1258,859.427,964.507
53.5791,857.949,962.096
54.0322,856.529,961.664
54.485,855.813,957.129
54.9376,855.824,954.661
55.3899,855.88,954.975
55.8421,853.233,949.655
56.294,852.725,949.8
56.7458,851.22,954.338
57.1973,849.86,954.838
57.6486,848.036,952.774
58.0998,847.499,950.42
58.5508,847.265,947.316
59.0016,845.522,949.456
59.4522,844.284,950.214
59.9026,843.215,948.875
60.3529,842.594,947.384
60.8031,841.064,948.152
61.2531,840.495,948.871
61.7029,838.431,950.896
62.1527,837.768,948.415
62.6023,836.694,942.312
63.0517,836.491,935.454
63.5011,835.09,930.531
63.9503,834.574,933.112
64.3994,833.355,936.633
64.8484,832.701,937.343
65.2973,830.7,935.589
65.7462,827.989,933.915
66.1949,826.879,930.649
66.6436,826.654,921.093
67.0922,826.842,913.05
67.5407,825.793,910.886
67.9891,824.624,914.91
68.4375,822.505,917.375
68.8859,822.356,918.731
69.3342,821.486,917.818
69.7824,822.137,919.064
70.2307,820.527,915.788
70.6789,819.966,913.356
71.127,817.896,909.56
71.5752,816.485,907.792
72.0233,814.037,908.92
72.4715,813.28,911.286
72.9196,811.772,911.889
73.3677,811.035,907.726
73.8159,809.584,901.738
74.264,808.418,897.004
74.7122,807.314,890.881
75.1604,806.676,886.749
75.6087,806.785,890.388
76.0569,805.098,893.698
76.5053,804.127,891.711
76.9537,802.114,890.188
77.4021,801.169,889.249
77.8506,798.152,887.292
78.2991,796.699,888.823
78.7478,795.052,887.881
79.1965,794.823,884.163
79.6453,792.677,879.952
80.0941,791.945,876.619
80.5431,790.474,878.68
80.9922,790.242,879.921
81.4414,789.158,879.633
81.8907,787.789,876.771
82.3401,786.344,873.234
82.7896,784.875,869.763
83.2393,783.927,866.625
83.6891,782.395,866.466
84.139,781.209,866.859
84.5891,779.766,865.772
85.0394,778.926,863.787
85.4898,776.867,861.914
85.9403,775.969,858.774
86.391,774.071,857.438
86.8419,773.402,858.471
87.293,771.277,858.211
87.7443,769.612,856.009
88.1957,768.572,852.577
88.6474,768.034,850.482
89.0992,765.837,849.709
89.5513,764.401,848.972
90.0036,763.177,848.334
90.4561,761.832,846.743
90.9088,760.64,846.785
91.3618,759.786,847.297
91.8149,759.206,846.167
92.2684,757.573,844.129
92.7221,756.493,843.994
93.176,754.705,841.769
93.6302,753.715,839.25
94.0846,751.644,837.354
94.5394,749.963,833.773
94.9944,748.742,831.334
95.4497,747.813,829.623
95.9053,746.445,830.462
96.3611,745.153,829.133
96.8173,744.156,829.466
97.2738,742.634,829.266
97.7305,741.555,827.617
98.1876,739.945,823.831
98.6451,738.556,820.937
99.1028,736.55,816.487
99.5609,735.34,816.538
100.019,733.554,817.01
100.478,732.626,815.528
100.937,731.452,813.571
101.397,730.477,812.833
101.857,729.098,810.966
102.317,728.038,813.404
